Wilayah,Narsum,Kategori_Responden,Pertanyaan,Tanggapan
Jayawijaya,GTY,KII, Apa konsekuensinya terhadap Kegiatan respon bencana konflik/kegiatan pemberdayaan/kegiatan yang sifatnya membangun perdamaian,Alternatif daerah penyangga harus disiapkan sebagai jalur evakuasi dan distribusi bantuan.
Jayawijaya,GTY,KII,Pesan publik dan swasta eksternal seperti apa yang perlu kami sampaikan,"Pesan harus menyejukkan, menghindari hoaks, serta menekankan persatuan dan perdamaian."
Jayawijaya,GTY,KII,Apa jenis kegiatan Pembinaan perdamaian yang dapat kami kontribusikan?,"Edukasi perdamaian berbasis komunitas akar rumput, dengan melibatkan tokoh lokal sebagai agen perubahan. Pendekatan ini dapat memperkuat fondasi menuju **perdamaian abadi**."
Jayawijaya,JPY,KII,Apa saja kebutuhan utama saat ini dan yang akan datang??,"Keadilan social  mengurangi dikotomi antara Orang Asli Papua (OAP) dan pendatang, terutama dalam akses pekerjaan, ekonomi, dan politik."
Jayawijaya,JPY,KII,Apa saja kebutuhan utama saat ini dan yang akan datang??,"Perlindungan kelompok rentan: memastikan perempuan, anak-anak, dan remaja tidak menjadi korban langsung maupun tidak langsung."
Jayawijaya,JPY,KII,Apa saja kebutuhan utama saat ini dan yang akan datang??,"Jaminan kebutuhan dasar: pangan, sandang, papan, serta akses transportasi (udara sebagai jalur utama)."
Jayawijaya,JPY,KII,Apa saja kebutuhan utama saat ini dan yang akan datang??,Komunikasi damai: pendekatan berbasis kemanusiaan untuk mencegah eskalasi menjadi kekerasan terbuka.
Jayawijaya,JPY,KII,Apa saja ketegangan yang ada di negara ini?,"Sumber ketegangan utama: perebutan kursi PNS (kuota OAP vs pendatang), kontestasi politik lokal, serta benturan kepentingan di sektor ekonomi informal."
Jayawijaya,JPY,KII,Apa saja ketegangan yang ada di negara ini?,"Kecenderungan: meningkat, karena belum ada sistem kebijakan yang adil dan transparan untuk meredam akar masalah."
Jayawijaya,JPY,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Kesenjangan kesempatan ekonomi dan pendidikan.
Jayawijaya,JPY,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Nepotisme birokrasi yang memperkuat ketidakpercayaan.
Jayawijaya,JPY,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Polarisasi identitas (OAP vs pendatang).
Jayawijaya,JPY,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?","Perempuan dan anak-anak: rentan trauma, kehilangan rasa aman, dan gangguan perkembangan emosional."
Jayawijaya,JPY,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?",Remaja: berisiko terseret dalam budaya kekerasan atau narasi kebencian.
Jayawijaya,JPY,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?","Pendatang (penjual kios, sopir, pekerja informal): sering menjadi sasaran langsung saat konflik."
Jayawijaya,JPY,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?",OAP sendiri: kadang menjadi korban salah sasaran dalam penegakan hukum.
Jayawijaya,JPY,KII,Apa yang menyatukan masyarakat di wilayah ini?,Gereja sebagai ruang spiritual dan sosial.
Jayawijaya,JPY,KII,Apa yang menyatukan masyarakat di wilayah ini?,"Tradisi adat (bakar batu, sistem kekerabatan) sebagai simbol kebersamaan."
Jayawijaya,JPY,KII,Apa yang memecah belah masyarakat di wilayah ini?,Perebutan lowongan PNS.
Jayawijaya,JPY,KII,Apa yang memecah belah masyarakat di wilayah ini?,Tradisi perang suku yang masih berlangsung.
Jayawijaya,JPY,KII,Apa yang memecah belah masyarakat di wilayah ini?,Kontestasi politik (Pilkada) yang memunculkan polarisasi identitas.
Jayawijaya,JPY,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Tokoh adat : legitimasi budaya untuk menjadi penengah.
Jayawijaya,JPY,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Gereja : pengaruh moral dan spiritual dalam membangun perdamaian.
Jayawijaya,JPY,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Pemerintah daerah dan pusat : kebijakan adil dan transparan.
Jayawijaya,JPY,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?","TNI/Polri: menjaga keamanan, namun perlu pendekatan humanis."
Jayawijaya,JPY,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",LSM dan lembaga kemanusiaan : mendukung rekonsiliasi dan pemberdayaan masyarakat.
Jayawijaya,JPY,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,Kelompok sipil bersenjata (misalnya Egianus Kogoya di Nduga dan Jayawijaya).
Jayawijaya,JPY,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,Tokoh adat dan gereja : berpengaruh di tingkat akar rumput.
Jayawijaya,JPY,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,Pemerintah daerah : pengaruh melalui kebijakan dan distribusi sumber daya.
Jayawijaya,JPY,KII,Apa tujuan dan kemampuan yang mereka miliki?,"Kelompok bersenjata: mempertahankan ideologi Papua Merdeka, memiliki struktur militer-politik, serta jaringan internasional."
Jayawijaya,JPY,KII,Apa tujuan dan kemampuan yang mereka miliki?,"Tokoh adat/gereja: menjaga persatuan, perdamaian, dan nilai budaya."
Jayawijaya,JPY,KII,Apa tujuan dan kemampuan yang mereka miliki?,"Pemerintah: menjaga stabilitas, distribusi sumber daya, dan legitimasi politik."
Jayawijaya,JPY,KII,Bagaimana hubungan di antara mereka?,Kelompok bersenjata vs pemerintah/TNI-Polri: konflik dan kompetisi.
Jayawijaya,JPY,KII,Bagaimana hubungan di antara mereka?,"Tokoh adat/gereja vs masyarakat: hubungan kooperatif, berperan sebagai mediator."
Jayawijaya,JPY,KII,Bagaimana hubungan di antara mereka?,"Pendatang vs OAP: hubungan ambivalen, kadang kooperatif dalam ekonomi, kadang konflik dalam politik/identitas."
Jayawijaya,JPY,KII,Bagaimana Anda/bagaimana Anda melihat mereka?,"Kelompok bersenjata memiliki pengaruh signifikan dalam menciptakan ketegangan, sementara tokoh adat dan gereja memiliki pengaruh besar dalam meredakan konflik. Pemerintah tetap menjadi aktor kunci, tetapi legitimasi mereka bergantung pada keadilan kebijakan."
Jayawijaya,JPY,KII,Apa yang Anda perkirakan akan terjadi dalam 6 bulan ke depan,"Keamanan: relatif terkendali, namun rawan riak konflik lokal."
Jayawijaya,JPY,KII,Apa yang Anda perkirakan akan terjadi dalam 6 bulan ke depan,"Politik: stabil pasca-Pemilu, tetapi polarisasi identitas tetap ada."
Jayawijaya,JPY,KII,Apa yang Anda perkirakan akan terjadi dalam 6 bulan ke depan,Ekonomi: krisis pangan dan inflasi masih menjadi ancaman.
Jayawijaya,JPY,KII,Apa yang Anda perkirakan akan terjadi dalam 6 bulan ke depan,Sosial: trauma anak/remaja dan ketidakpercayaan antar kelompok berpotensi berlanjut.
Jayawijaya,JPY,KII,Apa konsekuensi/dampak konteks ini bagi operasional LSM?,Keamanan staf : berisiko saat konflik lokal.
Jayawijaya,JPY,KII,Apa konsekuensi/dampak konteks ini bagi operasional LSM?,Pelaksanaan program : terhambat akses transportasi/logistik.
Jayawijaya,JPY,KII,Apa konsekuensi/dampak konteks ini bagi operasional LSM?,Akses ke masyarakat : terganggu oleh ketegangan identitas dan politik.
Jayawijaya,JPY,KII,Pesan publik dan swasta eksternal seperti apa yang perlu kami sampaikan,Hindari hoaks dan narasi provokatif.
Jayawijaya,JPY,KII,Pesan publik dan swasta eksternal seperti apa yang perlu kami sampaikan,"Sampaikan pesan perdamaian, persatuan, dan keadilan sosial."
Jayawijaya,JPY,KII,Pesan publik dan swasta eksternal seperti apa yang perlu kami sampaikan,"Dorong dukungan internasional yang konstruktif, bukan memperburuk situasi."
Jayawijaya,JPY,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,Edukasi perdamaian berbasis komunitas akar rumput.
Jayawijaya,JPY,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Pelibatan tokoh adat, gereja, pemuda, dan perempuan sebagai agen perubahan."
Jayawijaya,JPY,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Program rekonsiliasi berkelanjutan yang menyentuh aspek budaya, ekonomi, dan sosial."
Jayawijaya,JPY,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Konflik : analisis akar masalah, komunikasi berjenjang, koordinasi pusat-daerah."
Jayawijaya,JPY,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Bencana : kesiapan logistik, penetapan status (daerah/nasional)."
Jayawijaya,JPY,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,Alternatif daerah penyangga : untuk evakuasi dan distribusi bantuan.
Jayawijaya,JPY,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Pemberdayaan masyarakat: memperkuat ekonomi lokal, pendidikan, dan kapasitas perdamaian."
Jayawijaya,ACL,KII,Apa saja kebutuhan utama saat ini dan yang akan datang??,"Digital literasi: edukasi masyarakat tentang penggunaan media sosial, cara memilah informasi, dan bahaya hoaks."
Jayawijaya,ACL,KII,Apa saja kebutuhan utama saat ini dan yang akan datang??,Penguatan akar rumput: melalui gereja dan tokoh adat sebagai mediator utama dalam konflik.
Jayawijaya,ACL,KII,Apa saja ketegangan yang ada di negara ini?,"Konflik di Wamena semakin mudah terjadi karena **peran media sosial**. Informasi, isu, atau rumor yang beredar melalui grup WhatsApp sering memicu ketegangan sebelum peristiwa benar-benar terjadi."
Jayawijaya,ACL,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Persoalan rumah tangga (perselingkuhan).
Jayawijaya,ACL,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Pembunuhan atau tindak kriminal.
Jayawijaya,ACL,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Dana desa yang tidak transparan.
Jayawijaya,ACL,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Pergantian kepala kampung.
Jayawijaya,ACL,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Keributan akibat mabuk.
Jayawijaya,ACL,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,Rasisme di kalangan pelajar/masyarakat.
Jayawijaya,ACL,KII,Bagaimana ketegangan-ketegangan tersebut muncul?,"Sejak pemekaran provinsi, arus pendatang dari kabupaten lain memperbesar peluang bentrokan, terutama di ruang publik seperti pasar dan terminal. Konflik kecil dapat dengan cepat berkembang menjadi masalah sosial yang lebih besar."
Jayawijaya,ACL,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?","Anak dan remaja: bisa menjadi pemicu (ikut terlibat) sekaligus korban (trauma, kehilangan akses pendidikan)."
Jayawijaya,ACL,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?","Perempuan: takut berjualan di pasar saat konflik, rentan kehilangan mata pencaharian."
Jayawijaya,ACL,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?",Warga sipil (OAP maupun non-OAP): terbatas ruang gerak karena peningkatan keamanan.
Jayawijaya,ACL,KII,"Siapa saja kelompok rentan.berisiko tinggi ? Bagaimana peningkatan ketegangan akan mempengaruhi kelompok-kelompok tersebut, terutama anak-anak dan remaja?","Pendatang/pedagang: kios tutup, akses ekonomi terhenti."
Jayawijaya,ACL,KII,Apa yang menyatukan masyarakat di wilayah ini?,"adat (bakar batu, sistem kekerabatan) dan gereja (KKR, ibadah bersama)"
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Ketidakpercayaan OAP terhadap aparat.
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Kesenjangan ekonomi OAP vs pendatang.
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Ketidaksetaraan kesempatan kerja.
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Luka sejarah kerusuhan masa lalu.
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Persaingan politik lokal.
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Konflik KKB vs aparat keamanan.
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Hoaks dan provokasi digital.
Jayawijaya,ACL,KII,Apa yang memecah belah masyarakat di wilayah ini?,Rasisme.
Jayawijaya,ACL,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Pemerintah daerah: biasanya mengambil alih penyelesaian dengan mekanisme pembayaran tuntutan adat.
Jayawijaya,ACL,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?","Tokoh agama (gereja, masjid): meredam ketegangan dengan pesan moral dan spiritual."
Jayawijaya,ACL,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?","Tokoh adat/paguyuban: menjaga legitimasi budaya, namun peran mereka sering terbatas pada meredam, bukan menyelesaikan."
Jayawijaya,ACL,KII,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?","Pola penyelesaian konflik masih dominan berbasis **kompensasi uang**, bukan transformasi akar masalah."
Jayawijaya,ACL,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,"Anak muda: beroperasi di dunia maya, memengaruhi persepsi publik melalui media sosial."
Jayawijaya,ACL,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,"Tokoh adat & tokoh agama : “pemadam kebakaran” saat konflik, membawa pesan moral dan perdamaian."
Jayawijaya,ACL,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,"Pemerintah daerah: penyelesai masalah, pembuat kebijakan, dan pemberi kompensasi."
Jayawijaya,ACL,KII,Kelompok mana yang paling berpengaruh dan di mana mereka berada?,"Aparat keamanan: menjaga keamanan wilayah, namun juga berpotensi memicu konflik dengan anak muda terkait ideologi Papua Merdeka"
Jayawijaya,ACL,KII,Bagaimana hubungan di antara mereka?,Umumnya kooperatif dalam menyelesaikan konflik.
Jayawijaya,ACL,KII,Bagaimana hubungan di antara mereka?,Ketegangan bisa muncul antara anak muda dan aparat keamanan (ideologi).
Jayawijaya,ACL,KII,Bagaimana hubungan di antara mereka?,"Perbedaan pandangan antar kelompok kadang memicu gesekan, tetapi biasanya diselesaikan melalui campur tangan pemerintah."
Jayawijaya,ACL,KII,Bagaimana Anda/bagaimana Anda melihat mereka?,"Setiap kelompok memiliki peran besar dalam mencegah konflik, tetapi juga berpotensi menjadi pemicu. Stabilitas sangat bergantung pada dominasi peran damai dibanding peran provokatif."
Jayawijaya,ACL,KII,Apa yang Anda perkirakan akan terjadi dalam 6 bulan ke depan,Sulit diprediksi karena konflik bisa muncul dari hal kecil. Faktor penentu adalah bagaimana isu dimainkan: apakah “bola panas” diteruskan atau dipadamkan.
Jayawijaya,ACL,KII,Apa yang Anda perkirakan akan terjadi dalam 6 bulan ke depan,"Risiko tetap tinggi, terutama di ruang publik (pasar, terminal) dan media sosial."
Jayawijaya,ACL,KII,Apa konsekuensi/dampak konteks ini bagi operasional LSM?,"Keamanan staf: tidak pasti, berisiko saat konflik terbuka."
Jayawijaya,ACL,KII,Apa konsekuensi/dampak konteks ini bagi operasional LSM?,Pelaksanaan program: terhambat akses dan sensitivitas sosial.
Jayawijaya,ACL,KII,Apa konsekuensi/dampak konteks ini bagi operasional LSM?,"Akses ke masyarakat : harus dijaga melalui komunikasi dengan pemerintah, tokoh adat, dan tokoh agama."
Jayawijaya,ACL,KII,Pesan publik dan swasta eksternal seperti apa yang perlu kami sampaikan,Jangan terpancing hoaks.
Jayawijaya,ACL,KII,Pesan publik dan swasta eksternal seperti apa yang perlu kami sampaikan,Jangan berkomentar tentang konflik tanpa memahami duduk persoalan.
Jayawijaya,ACL,KII,Pesan publik dan swasta eksternal seperti apa yang perlu kami sampaikan,Sampaikan pesan perdamaian yang menyejukkan.
Jayawijaya,ACL,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Konflik ideologi (Papua Merdeka): penyelesaian jangka panjang melalui pendidikan, pelayanan kesehatan, dan pembangunan inklusif."
Jayawijaya,ACL,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Ketegangan sosial lain bisa ditangani dengan pertemuan rutin, agenda perdamaian, dan kampanye lintas kelompok."
Jayawijaya,ACL,KII,Apa jenis kegiatan  Pembinaan perdamaian yang dapat kami kontribusikan?,"Pendekatan multi-level (kebijakan, komunitas, digital literasi) diperlukan untuk membangun ketahanan sosial jangka panjang."
Sentani,Dinas Sosial,KII,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"Perhatian untuk Anak Terlantar dan Berisiko: Ditemukan anak-anak yang sudah menggunakan narkoba (hasil pemeriksaan bersama BNN di sekolah), Ada anak yang menggunakan aibon di jalanan, dan Ditemukan kasus anak kelas 5 SD yang terinfeksi HIV/AIDS (di Puskesmas)."
Sentani,Dinas Sosial,KII,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Narkoba dan Aibon: Bekerja sama dengan BNN.
Sentani,Dinas Sosial,KII,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,"Rehabilitasi Sosial: BNN menangani rehabilitasi medis, Dinas Sosial menangani pemulihan fungsi sosial pasca-rehab."
Sentani,Dinas Sosial,KII,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Pencegahan: Melakukan penyuluhan di sekolah-sekolah bersama BNN dan mantan pecandu.
Sentani,Dinas Sosial,KII,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Penyalahgunaan Narkoba dan Zat Berbahaya: Anak-anak menggunakan narkoba dan aibon.
Sentani,Dinas Sosial,KII,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,"Kasus HIV pada Anak: Anak SD terinfeksi HIV, diduga karena kekerasan seksual yang dipicu oleh alkohol atau narkoba."
Sentani,Dinas Sosial,KII,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Dampak Ikutan: Marak pencurian (seperti helm) yang dilakukan anak-anak untuk membeli barang terlarang.
Sentani,Dinas Sosial,KII,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,"Dampak Sosial: Masyarakat merasa tidak nyaman, keluarga merasa malu."
Sentani,Dinas Sosial,KII,Bagaimana ketegangan tersebut muncul?,"Pengaruh Lingkungan: Diduga kuat pengaruh pergaulan menjadi penyebab utama, karena orang tua anak-anak tersebut tidak memiliki riwayat penyalahgunaan narkoba atau HIV."
Sentani,Dinas Sosial,KII,Bagaimana ketegangan tersebut muncul?,Faktor Keluarga: Banyak anak yang terlibat berasal dari keluarga broken home.
Sentani,Dinas Sosial,KII,Bagaimana ketegangan tersebut muncul?,"Kurangnya Sarana Positif: Tempat bermain anak sangat terbatas. Contoh: Stadion yang seharusnya bisa dibuka untuk umum pada sore hari malah dikenakan tarif, sehingga anak-anak tidak memiliki kegiatan aman dan mencari pelampiasan ke hal-hal negatif."
Sentani,Dinas Sosial,KII,Mengapa ketegangan ini bisa terjadi?,"Kurangnya pengawasan, minimnya fasilitas rehabilitasi, dan lemahnya dukungan keluarga"
Sentani,Dinas Sosial,KII,Siapa kelompok rentan/berisiko tinggi?,"Anak-anak dan Remaja: Terutama yang putus sekolah, berasal dari keluarga broken home, atau tinggal di lingkungan pergaulan yang buruk."
Sentani,Dinas Sosial,KII,Siapa kelompok rentan/berisiko tinggi?,Keluarga: Mengalami rasa malu dan stigma sosial.
Sentani,Dinas Sosial,KII,Siapa kelompok rentan/berisiko tinggi?,Masyarakat Umum: Merasa tidak nyaman karena marak pencurian.
Sentani,Dinas Sosial,KII, Contoh kelompok/kegiatan yang mempromosikan perdamaian?,Program pasca-rehab di Balai Tuduboli (pelatihan skill untuk mantan pengguna).
Sentani,Dinas Sosial,KII, Contoh kelompok/kegiatan yang mempromosikan perdamaian?,Penyuluhan pencegahan di sekolah-sekolah.
Sentani,Dinas Sosial,KII, Contoh kelompok/kegiatan yang mempromosikan perdamaian?,Pendampingan anak mantan pengguna agar fungsi sosialnya pulih.
Sentani,Dinas Sosial,KII,"Bagaimana masyarakat memandang aktor (Pemerintah, LSM, dll)?",Tidak ada penolakan keras atau tindakan anarkis. Masyarakat cenderung takut dan menghindar.
Sentani,Dinas Sosial,KII,"Bagaimana masyarakat memandang aktor (Pemerintah, LSM, dll)?","Pola pikir masyarakat: ""Kalau tidak dapat bantuan, kalian balik saja."" Artinya, masyarakat sering mengasosiasikan kedatangan LSM/dinas dengan pemberian bantuan materi."
Sentani,Dinas Sosial,KII,"Bagaimana masyarakat memandang aktor (Pemerintah, LSM, dll)?","Keluarga kadang tidak mau bertanggung jawab, terutama jika anak mengalami gangguan jiwa, sehingga Dinas Sosial kesulitan mengawasi 24 jam dan pengobatan menjadi tidak efektif."
Sentani,Dinas Sosial,KII,Skenario 6 bulan ke depan:,Keamanan: Potensi gangguan keamanan dari anak-anak yang mencari uang untuk membeli narkoba/aibon (pencurian).
