Wilayah,Kelompok_Usia,Jenis_Kelamin,Kategori_Responden,Pertanyaan,Tanggapan
Jayawijaya,Anak,Laki laki,Masyarakat,Apa ketakutanmu?,"Takut Tuhan membiarkan saya dalam arah dan tujuan , kedua orang tua tidak memberi dukungan dan nasihat saya. Saya biasa bangun hubungan dengan Tuhan dengan minta pengampunan dan dengar-dengar orang tua"
Jayawijaya,Anak,Laki laki,Masyarakat,Apa ketakutanmu?,Generasi yang ada kedepan akan bagaimana dengan jaman yang semakin canggih dan ketakutan saya juga tujuan hidup saya
Jayawijaya,Anak,Laki laki,Masyarakat,Apa ketakutanmu?,Saat saya 4 tahun saya punya mama meninggal sehingga saya ketakutan kehilangan papa.
Jayawijaya,Anak,Laki laki,Masyarakat,Apa ketakutanmu?,Ketakutan saya ketika ada perang suku yang datang dengan berbagai ancaman yang saya lakukan saya sampaikan ke keluarga bagaimana caranya kita bisa mengambil langkah dan mengamankan diri
Jayawijaya,Anak,Laki laki,Masyarakat,Apa harapanmu untuk komunitas di masa depan?,Saya ingin pemerintah lebih memperhatikan anak-anak yang ada seperti di gereja
Jayawijaya,Anak,Laki laki,Masyarakat,Apa harapanmu untuk komunitas di masa depan?,Kakak-kakak yang sudah belajar banyak hal bisa memberi contoh kepada adik-adik supaya ke depan bisa hidup lebih baik ke depan
Jayawijaya,Anak,Laki laki,Masyarakat,Apa harapanmu untuk komunitas di masa depan?,Di gereja saya semakin ramai lagi karena dulu gereja saya ramai tapi semenjak beberapa kakak-kakak saya sekolah dan kuliah diluar jadi sepi
Jayawijaya,Anak,Laki laki,Masyarakat,Apa harapanmu untuk komunitas di masa depan?,Banyak anak-anak aibon dan generasi di kompleks saya yang hidup dalam pergaulan negative dan itu pengaruh lingkungan dan perkembangan zaman sehingga saya berharap di kompleks saya anak-anak itu berubah jadi lebih baik.
Jayawijaya,Anak,Laki laki,Masyarakat,Apa harapanmu untuk komunitas di masa depan?,Harapan saya ke depan apa yang di ajarkan ke adik-adik bisa bertumbuh baik dan kelompok yang ada bisa jadi berkat untuk orang lain
Jayawijaya,Anak,Laki laki,Masyarakat,Bagaimana kamu sebagai anak muda bisa berkontribusi untuk mengubah situasi?,Terlibat di gereja jadi pengasuh dan pelayan
Jayawijaya,Anak,Laki laki,Masyarakat,Bagaimana kamu sebagai anak muda bisa berkontribusi untuk mengubah situasi?,Sebagai pemuda yang berkarakter bisa memberi citra baru harus memberi contoh yang baik bagi adik-adik
Jayawijaya,Anak,Laki laki,Masyarakat,Bagaimana kamu sebagai anak muda bisa berkontribusi untuk mengubah situasi?,"Sebagai pemuda berkontribusi di sekolah bagi teman-teman dengan menegur jika ada yang salah seperti menegur saat mengambil barang orang lain, menyontek"
Jayawijaya,Anak,Laki laki,Masyarakat,Bagaimana kamu sebagai anak muda bisa berkontribusi untuk mengubah situasi?,Sebagai pemuda memberi contoh yang baik bagi orang-orang yang ada disekitar dan adik-adik sehingga mereka bisa belajar kepada kita
Jayawijaya,Anak,Laki laki,Masyarakat,Bagaimana kamu sebagai anak muda bisa berkontribusi untuk mengubah situasi?,Tidak memberikan contoh yang tidak baik agar orang lain tidak mengikuti terutama adik-adik dan mengedukasi adik-adik untuk melakukan hal psoitif seperti ibadah
Jayawijaya,Anak,Laki laki,Masyarakat,Bagaimana kamu sebagai anak muda bisa berkontribusi untuk mengubah situasi?,"Harus jadi contoh dan teladan untuk adik-adik yang dibawah (di gereja harus berfikir bagaimana supaya bisa ramai contoh buat diskusi, kegiatan main bola dll)"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,anak-anak harus sekolah dari tingkat SD sampai perguruan tinggi
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"kurang mementingkan kesehatan anak-anak misalnya pas hamil tidak periksa sehingga biasa ada kelainan, tidak ada imunisasi. Untuk remaja khusunya perempuan juga perlu ada imunisasi HPV"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,pas masuk RS susah untuk bagian admin karena tidak mau mengurusnya padahal itu penting
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,situasi saat ini banyak kekacauan karena kurang Pendidikan karakter. Saat ini anak-anak terlalu bebas sehingga orang tua perlu adanya pembinaan (polah asu) untuk mendidik anak-anak
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,keluarga susah mengelolah aktivitas terutama Pendidikan sehingga anak dan kesehatan tidak jadi focus
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja kebutuhan utama saat ini dan yang akan datang di komunitas Anda?,"peran keluarga (orang tua, ayah ibu)"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Dinas Pendidikan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,LSM
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Gereja : untuk pembentukan karakter
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Orang tua
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Guru-guru di sekolah
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Wahana Visi Indonesia
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Tenaga kesehatan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,Komunitas /lingkungan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,"Pemerintah : Dinas social, UMKM, Koperasi"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa yang akan Anda minta bantuan untuk mengatasi kebutuhan-kebutuhan ini?,"Gereja : GSM, Pendeta, majelis,"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Mabok
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Judol
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Tanaman ganja
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Aibon
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Pencurian
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Begal
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Pembunuhan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa saja ketegangan yang terjadi di komunitas Anda yang mempengaruhi keluarga Anda?,Masalah perempuan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan-ketegangan tersebut muncul di komunitas Anda?,"Kecanduan miras sehingga melakukan aksi begal, pencurian"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan-ketegangan tersebut muncul di komunitas Anda?,"Pencurian karena ekonomi susah, tidak ada pekerjaan"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan-ketegangan tersebut muncul di komunitas Anda?,Dari kecil tidak di didik secara rohani (tidak di didik dirumah) sehingga saat keluar gampang terpengaruh dan membawanya pulang
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan-ketegangan tersebut muncul di komunitas Anda?,Kurangnya lapangan pekerjaan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan-ketegangan tersebut muncul di komunitas Anda?,Suami tidak beri nafkah buat istrinya sehingga terjadi perselingkuhan sehingga terjadi perceraian/pembunuhan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Mengapa ketegangan ini terjadi?,"Pembunuhan yang bisa menyebabkan Perang suku yang suka terjadi karena adanya konflik seperti perselingkuhan, mabok"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Mengapa ketegangan ini terjadi?,"Beda pendapat, tata ibadah bisa menyebabkan konflik di dalam 1 organisasi"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Mengapa ketegangan ini terjadi?,Pemerintahan (demo) karena hak yang tidak di berikan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Mengapa ketegangan ini terjadi?,"Palang jalan karena banjir, ada hewan yang kena tabrak, bahkan kecelakaan manusia, dana desa tidak cair, beras belum di bagi, penerimaan pegawai"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan ini berubah dalam beberapa bulan terakhir?,Harus di tangani oleh kepala suku untuk kedua belah pihak jika tidak ada solusi baru di naikkan ke pemerintah
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan ini berubah dalam beberapa bulan terakhir?,Situasi akhir-akhir ini makin memburuk misalnya soal denda jika tidak di bayar lunas maka konflik masih akan terus ada
Jayawijaya,Dewasa,Perempuan,Masyarakat,Bagaimana ketegangan ini berubah dalam beberapa bulan terakhir?,Penerimaan pegawai tergantung penanganan dari pemerintah karena sudah kebiasaan jadi di biarkan terus maka tidak aka nada perubahan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja kelompok rentan di komunitas Anda? Bagaimana peningkatan ketegangan akan berdampak pada kelompok-kelompok ini (terutama anak-anak dan remaja)?,Masyarakat kecil di daerah terpencil misalnya Tolikara yang mau mengakses ke kota mendapatkan bahan makanan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja kelompok rentan di komunitas Anda? Bagaimana peningkatan ketegangan akan berdampak pada kelompok-kelompok ini (terutama anak-anak dan remaja)?,"Anak-anak : sering libur kalau ada isu-isu, anak-anak disekitar wilayah konflik trauma kalau ada perang karena melihat langsung bahkan dilibatkan dalam perang (usia 10 tahun ke atas sudah diajak ikut perang dan pegang sajam), anak juga jadi korban konflik"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja kelompok rentan di komunitas Anda? Bagaimana peningkatan ketegangan akan berdampak pada kelompok-kelompok ini (terutama anak-anak dan remaja)?,"Pekerjaan (ASN, Penjual) kadang libur karena kena palang"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja kelompok rentan di komunitas Anda? Bagaimana peningkatan ketegangan akan berdampak pada kelompok-kelompok ini (terutama anak-anak dan remaja)?,Dorongan dendam sehingga sering menunjukkan kalau saya bisa
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja kelompok rentan di komunitas Anda? Bagaimana peningkatan ketegangan akan berdampak pada kelompok-kelompok ini (terutama anak-anak dan remaja)?,Pemikiran anak-anak hanya soal perang sehingga tidak ada lagi niat bersekolah dengan baik (anak-anak ada yang ketagihan sampai merasa perang itu seperti main bola) dan juga di turunkan dari mama-mama lewat cerita
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja kelompok rentan di komunitas Anda? Bagaimana peningkatan ketegangan akan berdampak pada kelompok-kelompok ini (terutama anak-anak dan remaja)?,Anak-anak kehilangan orang tua dan tempat karena adanya perang
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di negara ini?,Perdamaian antar dua belah pihak jika ada persoalan dan memperbaiki hubungan yang ada
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di negara ini?,"Organisasi yang bisa menyatukan misalnya gereja, masjid, tempat beribadah dan pimpinan"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di negara ini?,"Pemerintah menyatukan dalam hal mengambil keputusan yang adil, mendengar aspirasi"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di negara ini?,Kesalahpahaman
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di negara ini?,Politik ketika pilkada
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di negara ini?,Pemerintah yang otoriter memecah
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di negara ini?,"Pemerintah yang tidak mendengar aspirasi, tidak menjalankan pemerintahan sesuai undang-undang"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,"Hamba Tuhan yang selalu jadi penengah, merangkul, mendamaikan"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,Pemerintah desa ketika mengambil keputusan dalam hal mendamaikan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,"Kepala keluarga dan anggota Keluarga saling berdiskusi dan menjadi penengahh, tidak egois, pengambil keputusan"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,Kesalahpahaman/perbedaan pendapat dalam hal berkomunikasi
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,Beda pilihan politik
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,Ego dan iri hatinyang tidak mau mendengar orang lain karena merasa dia yang benar
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menyatukan atau memecah belah masyarakat di wilayah ini?,Tidak mematuhi aturan yang ada/tidak saling menghargai
Jayawijaya,Dewasa,Perempuan,Masyarakat,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Kegiatan baksos bisa jadi salah satu hal yang mempersatukan
Jayawijaya,Dewasa,Perempuan,Masyarakat,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Lomba olahrga yang bisa mengumpulkan orang lain
Jayawijaya,Dewasa,Perempuan,Masyarakat,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Budaya bakar batu
Jayawijaya,Dewasa,Perempuan,Masyarakat,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Kegian di gereja
Jayawijaya,Dewasa,Perempuan,Masyarakat,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?","Took adat, agama, pemintah,"
Jayawijaya,Dewasa,Perempuan,Masyarakat,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Kelompk pemuda yang diluar rdari gerja
Jayawijaya,Dewasa,Perempuan,Masyarakat,"Di daerah-daerah yang mengalami ketegangan yang meningkat, apa saja contoh kelompok dan/atau kegiatan yang bertujuan untuk mengurangi ketegangan dan mempromosikan perdamaian?",Punya hati yang besar
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja tokoh yang paling berpengaruh di wilayah ini?,"Kepala suku, kepala desa, kepala distrik"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Siapa saja tokoh yang paling berpengaruh di wilayah ini?,Took-toko agama
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menurut Anda mungkin terjadi dalam 6 bulan ke depan terkait dengan situasi politik,Pembangunan jalan
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menurut Anda mungkin terjadi dalam 6 bulan ke depan terkait dengan situasi ekonomi,Bantuan bama
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menurut Anda mungkin terjadi dalam 6 bulan ke depan terkait dengan situasi ekonomi,Penenaman modal
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menurut Anda mungkin terjadi dalam 6 bulan ke depan terkait dengan situasi ekonomi,"Bantuan usaha : modal, ternak, bibit"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menurut Anda mungkin terjadi dalam 6 bulan ke depan terkait dengan situasi sosial,Manusia mementingkan diri sendiri
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menurut Anda mungkin terjadi dalam 6 bulan ke depan terkait dengan situasi sosial,"Manusia akan lebih baik lagi dalam hal pembangunan, saling menghargai"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang menurut Anda mungkin terjadi dalam 6 bulan ke depan terkait dengan situasi sosial,Rumah sosial
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Berdoa
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Menjaga keamanan bersama (Membuat pos kamling yang dijaga bapak-bapak dan pemuda)
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Menjaga komunikasi yang baik
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Melakukan sosialisasi hal-hal yang baik dari gereja
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Saling menghargai
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Tidak menyebarkan isu-isu yang sedang berkembang
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Menyuarakan supaya pemimpin bisa menyelesaikan masalah-masalah yang ada
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Menyampaikan inspirasi yang baik lebih media social
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,"Berkebun, bekerja untuk memenuhi kebutuhan"
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Pemerintah kampung (kepala suku) berperan dalam menyuarakan mengelolah kebun
Jayawijaya,Dewasa,Perempuan,Masyarakat,Apa yang perlu dilakukan untuk mengatasi dampak merugikan yang mungkin timbul dari skenario-skenario tersebut? Dan oleh siapa?,Membangun pendekatan dengan pemerintah kampung / kepala suku untuk memberi izin agar bisa mengelolah lahan kosong untuk berkebun
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"Pagi pergi sekolah, pulang sekolah ganti baju, mandi, di rumah belajar (kali, bagi, kurang, tambah, Bahasa Indonesia)."
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi, sarapan, jalan ke sekolah, ganti baju, mandi, main, makan, malam main lagi"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi bantu orang tua (belah kayu bakar, cuci piring), tidur siang, kalau ada kerja maka kerja siram tanaman, tidur malam"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi, sarapan, biasa kerja bantu orang tua belah kayu bakar, cari makan di kali, siram-siram tanaman, tidur siang, habis makan tidur"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi, sarapan sedikit, pakai pakaian sekolah, berangkat sekolah, belajar sedikit, pulang sekolah, taruh pakaian, bermain, pulang, tidur siang, bermain sedikit, makan, tidur"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi, sarapan, keluar kerja jika ada, tidur, bantu mama keluar cari ikan/sagu"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi, sarapan bersihkan rumah, belah kayu/babat rumput, mandi, tidur siang"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi, sarapan, bantu orang tua, main hp, tidur"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun, sarapan, bantu cuci piring, belah kayu bakar, tidur siang, siram-siram kebun"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun pagi, berangkat kerja, pulang pasang jaring, makan, jalan-jalan di kampung, tidur"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun, makan, bantu orang tua belah kayu bakar"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"bangun, sarapan/kalau tidak ada sarapan maka minum kopi saja, jalan-jalan siang-sore, kerja, tidur"
"Asmat, Papua Selatan",Anak,Laki laki,Masyarakat,Bisakah Anda menggambarkan seperti apa kehidupan sehari-harimu?,"Pagi sarapan sedikit, pergi kerja (pangkur sagu, jaring cari ikan), pulang kasih hasil mencari untuk bapa mama, jalan-jalan di kampung, tidur"
